AcademicYear,CourseName,Seats
2018/2019,AGRI BUSINESS MANAGEMENT,500
2018/2019,AGRICULTURAL RESOURCE MANAGEMENT & TECHNOLOGY,500
2018/2019,AGRICULTURAL TECHNOLOGY & MANAGEMENT,500
2018/2019,AGRICULTURE,500
2018/2019,ANIMAL SCIENCE,500
2018/2019,ANIMAL SCIENCE & FISHERIES,500
2018/2019,APPLIED SCIENCES (BIO.SC),500
2018/2019,APPLIED SCIENCES (PHY.SC),500
2018/2019,AQUATIC RESOURCES TECHNOLOGY,500
2018/2019,ARABIC LANGUAGE,500
2018/2019,ARCHITECTURE,500
2018/2019,ART & DESIGN,500
2018/2019,ARTS,500
2018/2019,ARTS (SAB) - A [Arts Stream],500
2018/2019,ARTS (SAB) - B [Commerce Stream],500
2018/2019,ARTS (SP) / MASS MEDIA,500
2018/2019,ARTS (SP) / PERFORMING ARTS,500
2018/2019,AYURVEDIC MEDICINE & SURGERY,500
2018/2019,BIOLOGICAL SCIENCE,500
2018/2019,BIOSYSTEMS TECHNOLOGY,500
2018/2019,BUSINESS INFORMATION SYSTEMS (SPECIAL),500
2018/2019,BUSINESS SCIENCE,500
2018/2019,COMMERCE,500
2018/2019,COMMUNICATION STUDIES,500
2018/2019,COMPUTATION & MANAGEMENT,500
2018/2019,COMPUTER SCIENCE,500
2018/2019,COMPUTER SCIENCE & TECHNOLOGY,500
2018/2019,COMPUTING & INFORMATION SYSTEMS,500
2018/2019,DANCE,500
2018/2019,DENTAL SURGERY,500
2018/2019,DESIGN,500
2018/2019,DRAMA & THEATRE,500
2018/2019,ENGINEERING,500
2018/2019,ENGINEERING (EM),500
2018/2019,ENGINEERING (TM),500
2018/2019,ENGINEERING TECHNOLOGY,500
2018/2019,ENTREPRENEURSHIP & MANAGEMENT,500
2018/2019,ENVIRONMENTAL CONSERVATION & MANAGEMENT,500
2018/2019,ESTATE MANAGEMENT & VALUATION,500
2018/2019,EXPORT AGRICULTURE,500
2018/2019,FACILITIES MANAGEMENT,500
2018/2019,FASHION DESIGN & PRODUCT DEVELOPMENT,500
2018/2019,FILM & TELEVISION STUDIES,500
2018/2019,FINANCIAL ENGINEERING,500
2018/2019,FISHERIES & MARINE SCIENCES,500
2018/2019,FOOD BUSINESS MANAGEMENT,500
2018/2019,FOOD PRODUCTION & TECHNOLOGY MANAGEMENT,500
2018/2019,FOOD SCIENCE & NUTRITION,500
2018/2019,FOOD SCIENCE & TECHNOLOGY,500
2018/2019,GEOGRAPHICAL INFORMATION SCIENCE,500
2018/2019,GREEN TECHNOLOGY,500
2018/2019,HEALTH PROMOTION,500
2018/2019,"HOSPITALITY, TOURISM AND EVENTS MANAGEMENT",500
2018/2019,INDUSTRIAL INFORMATION TECHNOLOGY,500
2018/2019,INDUSTRIAL STATISTICS & MATHEMATICAL FINANCE,500
2018/2019,INFORMATION & COMMUNICATION TECHNOLOGY,500
2018/2019,INFORMATION COMMUNICATION TECHNOLOGY,500
2018/2019,INFORMATION SYSTEMS,500
2018/2019,INFORMATION TECHNOLOGY,500
2018/2019,INFORMATION TECHNOLOGY & MANAGEMENT,500
2018/2019,ISLAMIC STUDIES,500
2018/2019,LANDSCAPE ARCHITECTURE,500
2018/2019,LAW,500
2018/2019,MANAGEMENT,500
2018/2019,MANAGEMENT & INFORMATION TECHNOLOGY,500
2018/2019,MANAGEMENT & INFORMATION TECHNOLOGY (SEUSL),500
2018/2019,MANAGEMENT (PUBLIC) (SPECIAL),500
2018/2019,MANAGEMENT STUDIES (TV) - A [Commerce Stream],500
2018/2019,MANAGEMENT STUDIES (TV) - B [Any subject combination],500
2018/2019,MARINE AND FRESHWATER SCIENCES,500
2018/2019,MEDICAL LABORATORY SCIENCES,500
2018/2019,MEDICINE,500
2018/2019,MINERAL RESOURCES & TECHNOLOGY,500
2018/2019,MOLECULAR BIOLOGY & BIOCHEMISTRY,500
2018/2019,MUSIC,500
2018/2019,NURSING,500
2018/2019,PALM & LATEX TECHNOLOGY AND VALUE ADDITION,500
2018/2019,PEACE & CONFLICT RESOLUTION,500
2018/2019,PHARMACY,500
2018/2019,PHYSICAL EDUCATION,500
2018/2019,PHYSICAL SCIENCE,500
2018/2019,PHYSICAL SCIENCE -ICT,500
2018/2019,PHYSIOTHERAPY,500
2018/2019,PROJECT MANAGEMENT,500
2018/2019,QUANTITY SURVEYING,500
2018/2019,RADIOGRAPHY,500
2018/2019,SCIENCE & TECHNOLOGY,500
2018/2019,SIDDHA MEDICINE & SURGERY,500
2018/2019,SOCIAL WORK,500
2018/2019,SOFTWARE ENGINEERING,500
2018/2019,SPEECH & HEARING SCIENCES,500
2018/2019,SPORTS SCIENCE & MANAGEMENT,500
2018/2019,STATISTICS & OPERATIONS RESEARCH,500
2018/2019,SURVEYING SCIENCE,500
2018/2019,TEA TECHNOLOGY & VALUE ADDITION,500
2018/2019,TEACHING ENGLISH AS A SECOND LANGUAGE,500
2018/2019,TOURISM & HOSPITALITY MANAGEMENT,500
2018/2019,TOWN & COUNTRY PLANNING,500
2018/2019,TRANSLATION STUDIES,500
2018/2019,TRANSPORT & LOGISTICS MANAGEMENT,500
2018/2019,UNANI MEDICINE & SURGERY,500
2018/2019,VETERINARY SCIENCE,500
2018/2019,VISUAL & TECHNOLOGICAL ARTS,500
2018/2019,VISUAL ARTS,500
2019/2020,AGRI BUSINESS MANAGEMENT,515
2019/2020,AGRICULTURAL RESOURCE MANAGEMENT & TECHNOLOGY,515
2019/2020,AGRICULTURAL TECHNOLOGY & MANAGEMENT,515
2019/2020,AGRICULTURE,515
2019/2020,ANIMAL SCIENCE,515
2019/2020,ANIMAL SCIENCE & FISHERIES,515
2019/2020,APPLIED SCIENCES (BIO.SC),515
2019/2020,APPLIED SCIENCES (PHY.SC),515
2019/2020,AQUATIC RESOURCES TECHNOLOGY,515
2019/2020,ARABIC LANGUAGE,515
2019/2020,ARCHITECTURE,515
2019/2020,ART & DESIGN,515
2019/2020,ARTS,515
2019/2020,ARTS (SAB) - A [Arts Stream],515
2019/2020,ARTS (SAB) - B [Commerce Stream],515
2019/2020,ARTS (SP) / MASS MEDIA,515
2019/2020,ARTS (SP) / PERFORMING ARTS,515
2019/2020,AYURVEDIC MEDICINE & SURGERY,515
2019/2020,BIOLOGICAL SCIENCE,515
2019/2020,BIOSYSTEMS TECHNOLOGY (BST),515
2019/2020,BUSINESS INFORMATION SYSTEMS (SPECIAL) (BIS),515
2019/2020,BUSINESS SCIENCE,515
2019/2020,COMMERCE,515
2019/2020,COMMUNICATION STUDIES,515
2019/2020,COMPUTATION & MANAGEMENT,515
2019/2020,COMPUTER SCIENCE,515
2019/2020,COMPUTER SCIENCE & TECHNOLOGY,515
2019/2020,COMPUTING & INFORMATION SYSTEMS,515
2019/2020,DANCE,515
2019/2020,DENTAL SURGERY,515
2019/2020,DESIGN,515
2019/2020,DRAMA & THEATRE,515
2019/2020,ENGINEERING,515
2019/2020,ENGINEERING (EM),515
2019/2020,ENGINEERING (TM),515
2019/2020,ENGINEERING TECHNOLOGY (ET),515
2019/2020,ENTREPRENEURSHIP & MANAGEMENT,515
2019/2020,ENVIRONMENTAL CONSERVATION & MANAGEMENT,515
2019/2020,ESTATE MANAGEMENT & VALUATION,515
2019/2020,EXPORT AGRICULTURE,515
2019/2020,FACILITIES MANAGEMENT,515
2019/2020,FASHION DESIGN & PRODUCT DEVELOPMENT,515
2019/2020,FILM & TELEVISION STUDIES,515
2019/2020,FINANCIAL ENGINEERING,515
2019/2020,FINANCIAL MATHEMATICS AND INDUSTRIAL STATISTICS,515
2019/2020,FISHERIES & MARINE SCIENCES,515
2019/2020,FOOD BUSINESS MANAGEMENT,515
2019/2020,FOOD PRODUCTION & TECHNOLOGY MANAGEMENT,515
2019/2020,FOOD SCIENCE & NUTRITION,515
2019/2020,FOOD SCIENCE & TECHNOLOGY,515
2019/2020,GEOGRAPHICAL INFORMATION SCIENCE,515
2019/2020,GREEN TECHNOLOGY,515
2019/2020,HEALTH PROMOTION,515
2019/2020,"HOSPITALITY, TOURISM AND EVENTS MANAGEMENT",515
2019/2020,HUMAN RESOURCE DEVELOPMENT,515
2019/2020,INDUSTRIAL INFORMATION TECHNOLOGY,515
2019/2020,INDUSTRIAL STATISTICS & MATHEMATICAL FINANCE,515
2019/2020,INFORMATION AND COMMUNICATION TECHNOLOGY (ICT),515
2019/2020,INFORMATION COMMUNICATION TECHNOLOGY,515
2019/2020,INFORMATION SYSTEMS,515
2019/2020,INFORMATION TECHNOLOGY & MANAGEMENT,515
2019/2020,INFORMATION TECHNOLOGY (IT),515
2019/2020,ISLAMIC STUDIES,515
