CourseID,combination_id
COURSE_D5E20A1F,COM-001
COURSE_D5E20A1F,COM-002
COURSE_D5E20A1F,COM-003
COURSE_D5E20A1F,COM-004
COURSE_D5E20A1F,COM-005
COURSE_6FB49258,COM-001
COURSE_6FB49258,COM-002
COURSE_6FB49258,COM-003
COURSE_6FB49258,COM-004
COURSE_6FB49258,COM-005
COURSE_5EA0149E,COM-001
COURSE_5EA0149E,COM-002
COURSE_5EA0149E,COM-003
COURSE_5EA0149E,COM-004
COURSE_5EA0149E,COM-005
COURSE_4173EF9E,ART-001
COURSE_4173EF9E,ART-002
COURSE_4173EF9E,ART-003
COURSE_E2281A76,BIO-001
COURSE_E2281A76,BIO-002
COURSE_E2281A76,BIO-003
COURSE_E2281A76,BIO-004
COURSE_E2281A76,PHY-001
COURSE_E2281A76,PHY-002
COURSE_E2281A76,PHY-003
COURSE_E2281A76,PHY-004
COURSE_E2281A76,PHY-005
COURSE_E2281A76,PHY-006
COURSE_18E71AF6,BIO-001
COURSE_18E71AF6,BIO-002
COURSE_18E71AF6,BIO-003
COURSE_18E71AF6,BIO-004
COURSE_18E71AF6,PHY-001
COURSE_18E71AF6,PHY-002
COURSE_18E71AF6,PHY-003
COURSE_18E71AF6,PHY-004
COURSE_18E71AF6,PHY-005
COURSE_18E71AF6,PHY-006
COURSE_D2AF7287,BIO-001
COURSE_D2AF7287,BIO-002
COURSE_D2AF7287,BIO-003
COURSE_D2AF7287,BIO-004
COURSE_D2AF7287,PHY-001
COURSE_D2AF7287,PHY-002
COURSE_D2AF7287,PHY-003
COURSE_D2AF7287,PHY-004
COURSE_D2AF7287,PHY-005
COURSE_D2AF7287,PHY-006
COURSE_D59FA2DD,BIO-001
COURSE_D59FA2DD,BIO-002
COURSE_D59FA2DD,BIO-003
COURSE_D59FA2DD,BIO-004
COURSE_D59FA2DD,PHY-001
COURSE_D59FA2DD,PHY-002
COURSE_D59FA2DD,PHY-003
COURSE_D59FA2DD,PHY-004
COURSE_D59FA2DD,PHY-005
COURSE_D59FA2DD,PHY-006
COURSE_AD5541B4,ART-001
COURSE_AD5541B4,ART-002
COURSE_AD5541B4,ART-003
COURSE_37B7F386,ART-001
COURSE_37B7F386,ART-002
COURSE_37B7F386,ART-003
COURSE_2D04C5D7,PHY-001
COURSE_2D04C5D7,PHY-002
COURSE_2D04C5D7,PHY-003
COURSE_2D04C5D7,PHY-004
COURSE_2D04C5D7,PHY-005
COURSE_2D04C5D7,PHY-006
COURSE_0B332EE5,ART-001
COURSE_0B332EE5,ART-002
COURSE_0B332EE5,ART-003
COURSE_42CC1EDF,ART-001
COURSE_42CC1EDF,ART-002
COURSE_42CC1EDF,ART-003
COURSE_C52CB3A5,ART-001
COURSE_C52CB3A5,ART-002
COURSE_C52CB3A5,ART-003
COURSE_D7150ABD,COM-001
COURSE_D7150ABD,COM-002
COURSE_D7150ABD,COM-003
COURSE_D7150ABD,COM-004
COURSE_D7150ABD,COM-005
COURSE_D7150ABD,ART-001
COURSE_D7150ABD,ART-002
COURSE_D7150ABD,ART-003
COURSE_6972A203,ART-001
COURSE_6972A203,ART-002
COURSE_6972A203,ART-003
