CourseID,CourseName
COURSE_D5E20A1F,AGRI BUSINESS MANAGEMENT
COURSE_6FB49258,AGRICULTURAL RESOURCE MANAGEMENT & TECHNOLOGY
COURSE_5EA0149E,AGRICULTURAL TECHNOLOGY & MANAGEMENT
COURSE_4173EF9E,AGRICULTURE
COURSE_E2281A76,ANIMAL SCIENCE
COURSE_18E71AF6,ANIMAL SCIENCE & FISHERIES
COURSE_D2AF7287,APPLIED SCIENCES (BIO.SC)
COURSE_D59FA2DD,APPLIED SCIENCES (PHY.SC)
COURSE_AD5541B4,AQUATIC RESOURCES TECHNOLOGY
COURSE_37B7F386,ARABIC LANGUAGE
COURSE_2D04C5D7,ARCHITECTURE
COURSE_0B332EE5,ART & DESIGN
COURSE_42CC1EDF,ARTS
COURSE_C52CB3A5,ARTS (SAB) - A [Arts Stream]
COURSE_D7150ABD,ARTS (SAB) - B [Commerce Stream]
COURSE_6972A203,ARTS (SP) / MASS MEDIA
COURSE_65BF456E,ARTS (SP) / PERFORMING ARTS
COURSE_D8A0F3D6,AYURVEDIC MEDICINE & SURGERY
COURSE_9A3B86D8,BIOLOGICAL SCIENCE
COURSE_499B5002,BIOSYSTEMS TECHNOLOGY
COURSE_BE49C02C,BUSINESS INFORMATION SYSTEMS (SPECIAL)
COURSE_9F01BA5F,BUSINESS SCIENCE
COURSE_82203147,COMMERCE
COURSE_6D0F47A6,COMMUNICATION STUDIES
COURSE_F7C42F61,COMPUTATION & MANAGEMENT
COURSE_2D485EC0,COMPUTER SCIENCE
COURSE_2C8C23AC,COMPUTER SCIENCE & TECHNOLOGY
COURSE_491D0236,COMPUTING & INFORMATION SYSTEMS
COURSE_15838AF7,DANCE
COURSE_C6C759CF,DENTAL SURGERY
COURSE_8D2FCCFA,DESIGN
COURSE_09AF06E8,DRAMA & THEATRE
COURSE_F9CAAE1D,ENGINEERING
COURSE_2D93B504,ENGINEERING (EM)
COURSE_2BD18001,ENGINEERING (TM)
COURSE_1F4A3EA3,ENGINEERING TECHNOLOGY
COURSE_36BB0425,ENTREPRENEURSHIP & MANAGEMENT
COURSE_FF459714,ENVIRONMENTAL CONSERVATION & MANAGEMENT
COURSE_B43407B2,ESTATE MANAGEMENT & VALUATION
COURSE_476DC6FA,EXPORT AGRICULTURE
COURSE_979E5524,FACILITIES MANAGEMENT
COURSE_ECF3D598,FASHION DESIGN & PRODUCT DEVELOPMENT
COURSE_DE0C75E9,FILM & TELEVISION STUDIES
COURSE_8D29B705,FINANCIAL ENGINEERING
COURSE_8DD18D98,FISHERIES & MARINE SCIENCES
COURSE_F6F1A703,FOOD BUSINESS MANAGEMENT
COURSE_F3D0128A,FOOD PRODUCTION & TECHNOLOGY MANAGEMENT
COURSE_3BDB19CD,FOOD SCIENCE & NUTRITION
COURSE_75A6F664,FOOD SCIENCE & TECHNOLOGY
COURSE_014252D7,GEOGRAPHICAL INFORMATION SCIENCE
COURSE_69D3A6EB,GREEN TECHNOLOGY
COURSE_0042D32F,HEALTH PROMOTION
COURSE_49EB9899,"HOSPITALITY, TOURISM AND EVENTS MANAGEMENT"
COURSE_96FA3D6B,INDUSTRIAL INFORMATION TECHNOLOGY
COURSE_05785E00,INDUSTRIAL STATISTICS & MATHEMATICAL FINANCE
COURSE_1E7D3E5E,INFORMATION & COMMUNICATION TECHNOLOGY
COURSE_E479BF08,INFORMATION COMMUNICATION TECHNOLOGY
COURSE_A1AA7F74,INFORMATION SYSTEMS
COURSE_19DD185C,INFORMATION TECHNOLOGY
COURSE_7F123793,INFORMATION TECHNOLOGY & MANAGEMENT
COURSE_7D835649,ISLAMIC STUDIES
COURSE_1266310E,LANDSCAPE ARCHITECTURE
COURSE_B1F8D4E8,LAW
COURSE_441BE3EA,MANAGEMENT
COURSE_A31A375C,MANAGEMENT & INFORMATION TECHNOLOGY
COURSE_F5ABA666,MANAGEMENT & INFORMATION TECHNOLOGY (SEUSL)
COURSE_EFB75B40,MANAGEMENT (PUBLIC) (SPECIAL)
COURSE_FDBF045E,MANAGEMENT STUDIES (TV) - A [Commerce Stream]
COURSE_3A548304,MANAGEMENT STUDIES (TV) - B [Any subject combination]
COURSE_C082E2F9,MARINE AND FRESHWATER SCIENCES
COURSE_E51F5D90,MEDICAL LABORATORY SCIENCES
COURSE_324AD363,MEDICINE
COURSE_A39F98C3,MINERAL RESOURCES & TECHNOLOGY
COURSE_2673D523,MOLECULAR BIOLOGY & BIOCHEMISTRY
COURSE_BF3AF1F8,MUSIC
COURSE_0FFF83B1,NURSING
COURSE_3E684AB9,PALM & LATEX TECHNOLOGY AND VALUE ADDITION
COURSE_AA15AB3A,PEACE & CONFLICT RESOLUTION
COURSE_DE7D8944,PHARMACY
COURSE_1D8E2C82,PHYSICAL EDUCATION
COURSE_B1D1C95A,PHYSICAL SCIENCE
COURSE_52A8626F,PHYSICAL SCIENCE -ICT
COURSE_B0F4B150,PHYSIOTHERAPY
COURSE_5615C36C,PROJECT MANAGEMENT
COURSE_602B9DDA,QUANTITY SURVEYING
COURSE_131B662F,RADIOGRAPHY
COURSE_7E3F0F8D,SCIENCE & TECHNOLOGY
COURSE_93DB326B,SIDDHA MEDICINE & SURGERY
COURSE_2642647C,SOCIAL WORK
COURSE_233E1258,SOFTWARE ENGINEERING
COURSE_BF8FF51A,SPEECH & HEARING SCIENCES
COURSE_84768E80,SPORTS SCIENCE & MANAGEMENT
COURSE_6A9F1A88,STATISTICS & OPERATIONS RESEARCH
COURSE_6D8E0A22,SURVEYING SCIENCE
COURSE_117B9B8E,TEA TECHNOLOGY & VALUE ADDITION
COURSE_E29C160D,TEACHING ENGLISH AS A SECOND LANGUAGE
COURSE_75EB0CF5,TOURISM & HOSPITALITY MANAGEMENT
COURSE_0FCCF63A,TOWN & COUNTRY PLANNING
COURSE_6B2C67EB,TRANSLATION STUDIES
COURSE_7B059745,TRANSPORT & LOGISTICS MANAGEMENT
COURSE_67115AF7,UNANI MEDICINE & SURGERY
COURSE_7AAB6370,VETERINARY SCIENCE
COURSE_30515045,VISUAL & TECHNOLOGICAL ARTS
COURSE_172A9F57,VISUAL ARTS
COURSE_89A8CBED,BIOSYSTEMS TECHNOLOGY (BST)
COURSE_D845FFE3,BUSINESS INFORMATION SYSTEMS (SPECIAL) (BIS)
COURSE_8E64917C,ENGINEERING TECHNOLOGY (ET)
COURSE_93964B83,FINANCIAL MATHEMATICS AND INDUSTRIAL STATISTICS
COURSE_B3AED386,HUMAN RESOURCE DEVELOPMENT
COURSE_49E07A6A,INFORMATION AND COMMUNICATION TECHNOLOGY (ICT)
COURSE_789CA292,INFORMATION TECHNOLOGY (IT)
COURSE_1FF4F83D,MANAGEMENT (PUBLIC) SPECIAL
COURSE_D4164998,MANAGEMENT AND INFORMATION TECHNOLOGY (MIT)
COURSE_C156F363,MANAGEMENT AND INFORMATION TECHNOLOGY (SEUSL)
COURSE_7B2B5716,MINERAL RESOURCES AND TECHNOLOGY
COURSE_6473D3E1,PALM AND LATEX TECHNOLOGY & VALUE ADDITION
COURSE_E188312E,SCIENCE AND TECHNOLOGY
COURSE_390A31ED,SPEECH AND HEARING SCIENCES
COURSE_39DFBCF2,TEACHING ENGLISH AS A SECOND LANGUAGE (TESL)
COURSE_793DC846,ACCOUNTING INFORMATION SYSTEMS
COURSE_252775E5,AGRICULTURAL RESOURCE MANAGEMENT AND TECHNOLOGY
COURSE_2BDF6D4B,APPLIED CHEMISTRY
COURSE_41939603,AQUATIC BIORESOURCES
COURSE_32045221,ARTIFICIAL INTELLIGENCE
COURSE_1231CD8D,ARTS-INFORMATION TECHNOLOGY
COURSE_919FA4FF,BIOCHEMISTRY & MOLECULAR BIOLOGY
COURSE_15BDD1FC,BIOMEDICAL TECHNOLOGY
COURSE_C5F7FD9F,BUSINESS INFORMATION SYSTEMS (HONOURS) (BIS)
COURSE_73532F2A,ELECTRONICS AND COMPUTER SCIENCE
COURSE_A38A81AC,ENTREPRENEURSHIP AND MANAGEMENT
COURSE_252AC8F9,HEALTH INFORMATION AND COMMUNICATION TECHNOLOGY
COURSE_23869BDA,HEALTH TOURISM AND HOSPITALITY MANAGEMENT
COURSE_AD1DA620,INDIGENOUS MEDICINAL RESOURCES
COURSE_56B0D274,INDIGENOUS PHARMACEUTICAL TECHNOLOGY
COURSE_7AAE63FC,MANAGEMENT (PUBLIC) HONOURS
COURSE_59A3AE3E,OCCUPATIONAL THERAPY
COURSE_4B66DB86,OPTOMETRY
COURSE_755831A6,SOCIAL STUDIES IN INDIGENOUS KNOWLEDGE
COURSE_623FF76C,URBAN BIORESOURCES
COURSE_7A0CF147,YOGA AND PARAPSYCHOLOGY
COURSE_509AEB3E,ANIMAL PRODUCTION AND FOOD TECHNOLOGY
COURSE_A5D73D6F,BANKING & INSURANCE
COURSE_F2CBCAAB,CREATIVE MUSIC TECHNOLOGY & PRODUCTION
COURSE_BD0AFD5F,ENGLISH LANGUAGE & APPLIED LINGUISTICS
COURSE_FA1180F9,FINANCIAL ECONOMICS
COURSE_AF6A7A67,FOOD BUSINESS MANAGEMENT [Biological / Physical Science Stream]
COURSE_AA1AE0C2,FOOD BUSINESS MANAGEMENT [Commerce Stream]
COURSE_297B436C,TRANSPORT MANAGEMENT & LOGISTICS ENGINEERING (TMLE)
COURSE_01EE5F81,DATA SCIENCE
COURSE_56E6B19C,MEDICAL IMAGING TECHNOLOGY
COURSE_6495E2A7,PLANTATION MANAGEMENT AND TECHNOLOGY
COURSE_D2F2F1B7,PRIMARY EDUCATION
COURSE_0281612F,REAL ESTATE MANAGEMENT & VALUATION
COURSE_6B13831B,MANAGEMENT AND INFORMATION TECHNOLOGY (MIT) (BIO SCIENCE STREAM)
