DistrictID,DistrictName
DISTRICT_80F4B83B,COLOMBO
DISTRICT_40903503,GAMPAHA
DISTRICT_656E1CE3,KALUTARA
DISTRICT_A17237FA,MATALE
DISTRICT_3680DD41,KANDY
DISTRICT_44662D06,NUWARA ELIYA
DISTRICT_DE69886E,GALLE
DISTRICT_21D2EE50,MATARA
DISTRICT_F42C8F6A,HAMBANTOTA
DISTRICT_60B8EE58,JAFFNA
DISTRICT_159B3454,KILINOCHCHI
DISTRICT_9BE5D525,MANNAR
DISTRICT_98EA16C9,MULLAITIVU
DISTRICT_888B1DAB,VAVUNIYA
DISTRICT_4ACFF824,TRINCOMALEE
DISTRICT_52F9214F,BATTICALOA
DISTRICT_8F1646E1,AMPARA
DISTRICT_D43D107C,PUTTALAM
DISTRICT_C9569857,KURUNEGALA
DISTRICT_B94F4CB8,ANURADHAPURA
DISTRICT_7CD0BD98,POLONNARUWA
DISTRICT_0E1A9D59,BADULLA
DISTRICT_32110F15,MONARAGALA
DISTRICT_3FB5836D,KEGALLE
DISTRICT_790A4733,RATNAPURA
