UniversityID,UniversityName
UNIVERSITY_9536C93C,Eastern University - Trincomalee Campus
UNIVERSITY_E403C90A,"Eastern University, Sri Lanka"
UNIVERSITY_00B29E70,Rajarata University of Sri Lanka
UNIVERSITY_0D262C4B,Ramanathan Academy of Fine Arts
UNIVERSITY_CA0DA06F,Sabaragamuwa University of Sri Lanka
UNIVERSITY_9293F7A5,South Eastern University of Sri Lanka
UNIVERSITY_C304DDC3,Swami Vipulananda Institute of Aesthetic Studies
UNIVERSITY_5D923B44,"The Gampaha Wickramarachchi University of Indigenous Medicine, Sri Lanka"
UNIVERSITY_4F47C46C,University of Colombo
UNIVERSITY_86CDCC67,University of Colombo - Sri Palee Campus
UNIVERSITY_38E1F0BD,University of Colombo School of Computing
UNIVERSITY_982C45B8,University of Jaffna
UNIVERSITY_B89CF20C,University of Jaffna - Vavuniya Campus
UNIVERSITY_72F7EE24,University of Kelaniya
UNIVERSITY_4935A7BC,University of Moratuwa
UNIVERSITY_5461127F,University of Peradeniya
UNIVERSITY_E728A0EF,University of Ruhuna
UNIVERSITY_4EF4DCC7,University of Sri Jayewardenepura
UNIVERSITY_C56AA792,University of the Visual & Performing Arts
UNIVERSITY_9413EA25,Uva Wellassa University of Sri Lanka
UNIVERSITY_CA6BD995,Wayamba University of Sri Lanka
UNIVERSITY_9909F93F,"University of Vavuniya, Sri Lanka"
