UniversityID,UniversityName
UNIVERSITY_9536C93C,Eastern University - Trincomalee Campus
UNIVERSITY_AD9FA107,Eastern University -Trincomalee Campus
UNIVERSITY_E403C90A,"Eastern University, Sri Lanka"
UNIVERSITY_2BB005E6,Gampaha Wickramaarachchi Ayurveda Institute
UNIVERSITY_E4515AC8,Institute of Indigenous Medicine
UNIVERSITY_00B29E70,Rajarata University of Sri Lanka
UNIVERSITY_0D262C4B,Ramanathan Academy of Fine Arts
UNIVERSITY_CA0DA06F,Sabaragamuwa University of Sri Lanka
UNIVERSITY_9293F7A5,South Eastern University of Sri Lanka
UNIVERSITY_C304DDC3,Swami Vipulananda Institute of Aesthetic Studies
UNIVERSITY_4F47C46C,University of Colombo
UNIVERSITY_86CDCC67,University of Colombo - Sri Palee Campus
UNIVERSITY_38E1F0BD,University of Colombo School of Computing
UNIVERSITY_982C45B8,University of Jaffna
UNIVERSITY_B89CF20C,University of Jaffna - Vavuniya Campus
UNIVERSITY_72F7EE24,University of Kelaniya
UNIVERSITY_4935A7BC,University of Moratuwa
UNIVERSITY_5461127F,University of Peradeniya
UNIVERSITY_E728A0EF,University of Ruhuna
UNIVERSITY_4EF4DCC7,University of Sri Jayewardenepura
UNIVERSITY_C56AA792,University of the Visual & Performing Arts
UNIVERSITY_9413EA25,Uva Wellassa University of Sri Lanka
UNIVERSITY_CA6BD995,Wayamba University of Sri Lanka
UNIVERSITY_5D923B44,"The Gampaha Wickramarachchi University of Indigenous Medicine, Sri Lanka"
UNIVERSITY_9909F93F,"University of Vavuniya, Sri Lanka"
UNIVERSITY_351D4673,University of Jayewardenepura
UNIVERSITY_BA9A75BF,University of Sabaragamuwa
UNIVERSITY_3F9E5CB8,HONOURS) (BIS
UNIVERSITY_464D4044,ICT
UNIVERSITY_A4B06DFE,TMLE
UNIVERSITY_069558E9,The Gampaha Wickramarachchi University of Indigenous
UNIVERSITY_C1164FA7,"Gampaha Wickramarachchi University of Indigenous Medicine,"
UNIVERSITY_DF644EB2,"Trincomalee Campus, Eastern University, Sri Lanka"
